ApplicableInspectionTypes,Make,Name
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,DS3
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,C5
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,DS4
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,Other Citroen Model
"European Sedan Inspection 360 , European Sedan Inspection 180 , European Sedan Inspection 90 , European Car Inspection K , European Car Inspection R , European Car Inspection M",Citroen,DS5
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Daihatsu,Rocky
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Daihatsu,Charade
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Daihatsu,Other Daihatsu Models
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Dodge,Challenger SRT
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Dodge,Charger SRT
